case_dollar_stats_id,award_total,award_actual,final_demand,case_punitive,case_specials,case_generals,damages_mult,cum_damages_total,cum_total_special,cum_general_special
1,1000,,,0,0,0,0,,,
2,650000,,,0,0,0,0,0,0,0
3,1750000,,,0,0,0,0,0,0,0
4,491582.15,,,0,491582.15,0,0,491582.15,,0
5,1900000,,,0,0,0,0,0,0,0
6,850000,,,0,0,0,0,0,0,0
7,1600900,901950,,0,0,1600900,0,1600900,0,1600900
8,100000,,,0,0,0,0,0,0,0
9,,,,0,0,0,0,0,0,0
10,,,,0,0,0,0,0,0,0
11,1800000,1350000,,0,1800000,0,0,1800000,1800000,0
12,,,245000,0,0,0,0,0,0,0
13,,,,0,0,0,0,0,0,0
14,,,250000,0,0,0,0,0,0,0
15,,,,0,0,0,0,0,0,0
16,1300000,,,0,1300000,0,0,1300000,1300000,0
17,1350000,,,0,850000,500000,0.588235294,1350000,850000,500000
18,,,850000,0,0,0,0,0,0,0
19,1500000,900000,5000000,0,0,0,0,0,0,0
20,300000,,,0,0,0,0,0,0,0
21,1950000,,,0,0,0,0,0,0,0
22,1395000,,,0,0,0,0,0,0,0
23,3900000,,,0,0,0,0,0,0,0
24,,,,0,0,0,0,0,0,0
25,2000000,,,0,0,0,0,0,0,0
26,56360368,25439135.17,,0,44560368,11800000,0.264809303,56360368,44560368,11800000
27,2520000,,800000,0,0,2520000,0,2520000,0,2520000
28,2850000,,,0,1350000,1500000,1.111111111,2850000,1350000,1500000
29,23200000,,7000000,0,23200000,0,0,23200000,23200000,0
30,2200000,,,0,0,0,0,0,0,0
31,,,300000,0,0,0,0,0,0,0
32,9000000,,850000,0,9000000,0,0,9000000,9000000,0
33,1164000,,600000,0,24000,1140000,47.5,1164000,24000,1140000
34,11845435.69,,,0,1845435.69,10000000,5.418774577,11845435.69,1845435.69,10000000
35,1945000,,,0,0,0,0,0,0,0
36,1315275.96,,,0,415276,900000,2.167233358,1315276,415276,900000
37,40000000,12000000,,0,0,0,0,0,0,0
38,2270000,1475500,,0,900000,1370000,1.522222222,2270000,900000,1370000
39,,,,0,0,0,0,0,0,0
40,911000,,,0,89000,822000,9.235955056,911000,89000,822000
41,870000,261000,3000000,0,545000,325000,0.596330275,870000,545000,325000
42,,,,0,0,0,0,0,0,0
43,,,375000,0,0,0,0,0,0,0
44,12017970,,2500000,0,12017970,0,0,12017970,12017970,0
45,,,1500000,0,0,0,0,0,0,0
46,557543,,575000,0,122543,435000,3.549774365,557543,122543,435000
47,1800000,,,0,0,0,0,0,0,0
48,,,,0,0,0,0,0,0,0
49,,,,0,0,0,0,0,0,0
50,23441101,21343585.55,7000000,0,13441101,10000000,0.743986672,23441101,13441101,10000000
51,3068048.21,,,0,0,0,0,0,0,0
52,,,250000,0,0,0,0,0,0,0
53,,,39999.99,0,0,0,0,0,0,0
54,50000000,,,0,1465000,48535000,33.12969283,50000000,1465000,48535000
55,,,350000,0,0,0,0,0,0,0
56,,,800000,0,0,0,0,0,0,0
57,,,,0,0,0,0,0,0,0
58,,,1500000,0,0,0,0,0,0,0
59,,,500000,0,0,0,0,0,0,0
60,11120000,9452000,8900000,0,2170000,8950000,4.124423963,11120000,2170000,8950000
61,225000,,,0,0,0,0,0,0,0
62,25160000,,,0,0,0,0,0,0,0
63,13300000,,,0,0,0,0,0,0,0
64,950000,,,0,0,0,0,0,0,0
65,,,,0,0,0,0,0,0,0
66,4000000,,,0,0,0,0,0,0,0
67,208440,224904.92,70000,0,23440,185000,7.892491468,208440,23440,185000
68,450000,,,250000,200000,0,0,450000,200000,0
69,,,,0,0,0,0,0,0,0
70,9936688,,,0,9936688,0,0,9936688,9936688,0
71,1520000,600000,,0,630000,890000,1.412698413,1520000,630000,890000
72,,,,0,0,0,0,0,0,0
73,,,950000,0,0,0,0,0,0,0
74,,,10000000,0,0,0,0,0,0,0
75,,,125000,0,0,0,0,0,0,0
76,8370000,,,0,0,0,0,0,0,0
77,,,,0,0,0,0,0,0,0
78,12400000,,,0,0,0,0,0,0,0
79,200000,,,0,0,0,0,0,0,0
80,1799600,500000,500000,0,1609600,190000,0.11804175,1799600,1609600,190000
81,,,,0,0,0,0,0,0,0
82,,,,0,0,0,0,0,0,0
83,200000,,,0,0,0,0,0,0,0
84,,,19999,0,0,0,0,0,0,0
85,,,,0,0,0,0,0,0,0
86,20000,,,0,0,20000,0,20000,0,20000
87,3000000,,,0,0,0,0,0,0,0
88,610000,,,0,0,0,0,0,0,0
89,,,94000,0,0,0,0,0,0,0
90,800000,,,0,0,0,0,0,0,0
91,40375,35375,,0,0,0,0,0,0,0
92,150000,,750000,0,0,0,0,0,0,0
93,3500000,,800000,0,0,3500000,0,3500000,0,3500000
94,,,500000,0,0,0,0,0,0,0
95,,,650000,0,0,0,0,0,0,0
96,8998877.05,2669663,,0,1598877,7200000,4.503160656,8798877,1598877,7200000
97,350000,350000,,0,0,0,0,0,0,0
98,,,2600000,0,0,0,0,0,0,0
99,1250595.2,982080.29,,0,524095.29,526500,1.004588307,1050595.29,524095.29,526500
100,1272903,,,0,0,0,0,0,0,0
101,4501897.63,4284303,,0,426897.63,4075000,9.545614015,4501897.63,426897.63,4075000
102,,,,0,0,0,0,0,0,0
103,21825000,,,20025000,25000,1775000,71,21825000,25000,1775000
104,,,,0,0,0,0,0,0,0
105,,,200000,0,0,0,0,0,0,0
106,6000000,,500000,5000000,0,1000000,0,6000000,0,1000000
107,5475000,,8000000,0,5475000,0,0,5475000,5475000,0
108,,,,0,0,0,0,0,0,0
109,1000000,,,0,0,0,0,0,0,0
110,,,,0,0,0,0,0,0,0
111,6500000,,,0,3500000,3000000,0.857142857,6500000,3500000,3000000
112,1300000,,,0,0,0,0,0,0,0
113,32848946,,,1500000,29757947.77,1590000,0.053431104,32847947.77,29757947.77,1590000
114,,,,0,0,0,0,0,0,0
115,17500000,,,0,0,0,0,0,0,0
116,18048015.8,15343093.04,,0,18048015.76,0,0,18048015.76,18048015.76,0
117,,,,0,0,0,0,0,0,0
118,1975492,592647,,0,475492,1500000,3.154627207,1975492,475492,1500000
119,10000000,,,0,0,0,0,0,0,0
120,1000000,,,0,0,0,0,0,0,0
121,3000000,2700000,2000000,0,500000,2500000,5,3000000,500000,2500000
122,2000000,,,0,0,0,0,0,0,0
123,,,100000,0,0,0,0,0,0,0
124,,,,0,0,0,0,0,0,0
125,,,,0,0,0,0,0,0,0
126,16475000,,750000,0,16475000,0,0,16475000,16475000,0
127,6500000,,,0,0,0,0,0,0,0
128,,,,0,0,0,0,0,0,0
129,,,750000,0,0,0,0,0,0,0
130,2750000,,,0,0,0,0,0,0,0
131,,,,0,0,0,0,0,0,0
132,30000000,26666666.7,,0,0,0,0,0,0,0
133,,,,0,0,0,0,0,0,0
134,,,,0,0,0,0,0,0,0
135,190000,,,0,0,0,0,0,0,0
136,1000000,,,0,0,0,0,0,0,0
137,3900000,,,0,0,0,0,0,0,0
138,15085000,,,0,0,0,0,0,0,0
139,6500000,,,0,0,0,0,0,0,0
140,1796222.23,,,0,0,0,0,0,0,0
141,,,,0,0,0,0,0,0,0
142,250000,,,0,0,0,0,0,0,0
143,,,,0,0,0,0,0,0,0
144,,,,0,0,0,0,0,0,0
145,,,,0,0,0,0,0,0,0
146,,,,0,0,0,0,0,0,0
147,,,,0,0,0,0,0,0,0
148,395854,,250000,0,395854,0,0,395854,395854,0
149,3025000,,2000000,0,3065000,100000,0.032626427,3165000,3065000,100000
150,,,,0,0,0,0,0,0,0
151,1800000,,,0,0,0,0,0,0,0
152,3859998,2547599,5000000,0,3095997.78,764000,0.246770203,3859997.78,3095997.78,764000
153,,,,0,0,0,0,0,0,0
154,,,,0,0,0,0,0,0,0
155,5200000,,,0,0,0,0,0,0,0
156,250000,,,0,0,0,0,0,0,0
157,,,,0,0,0,0,0,0,0
158,,,150000,0,0,0,0,0,0,0
159,275000,,250000,0,0,0,0,0,0,0
160,450000,,1300000,0,300000,150000,0.5,450000,300000,150000
161,2500000,,,0,0,0,0,0,0,0
162,29159535.37,,,0,29159535.37,0,0,29159535.37,29159535.37,0
163,,,9400000,0,0,0,0,0,0,0
164,10000000,,,0,10000000,0,0,10000000,10000000,0
165,,,350000,0,0,0,0,0,0,0
166,110000000,,,0,0,0,0,0,0,0
167,,,1200000,0,0,0,0,0,0,0
168,,,750000,0,0,0,0,0,0,0
169,400000,,,0,0,0,0,0,0,0
170,267328,,329920,0,0,0,0,0,0,0
171,,,,0,0,0,0,0,0,0
172,,,,0,0,0,0,0,0,0
173,,,,0,0,0,0,0,0,0
174,125000,,,0,0,0,0,0,0,0
175,297000,,,0,0,0,0,0,0,0
176,,,800000,0,0,0,0,0,0,0
177,,,,0,0,0,0,0,0,0
178,5000000,,,0,0,0,0,0,0,0
179,,,,0,0,0,0,0,0,0
180,3000000,,,0,0,0,0,0,0,0
181,,,,0,0,0,0,0,0,0
182,25000,,,0,0,0,0,0,0,0
183,,,800000,0,0,0,0,0,0,0
184,300000,,,0,0,0,0,0,0,0
185,,,200000,0,0,0,0,0,0,0
186,250000,,,0,0,0,0,0,0,0
187,,,500000,0,0,0,0,0,0,0
188,30000000,,,0,11000000,19000000,1.727272727,30000000,11000000,19000000
189,1850000,,,0,0,0,0,0,0,0
190,90800000,46308000,,0,90800000,0,0,90800000,90800000,0
191,787503,587503,,0,787503,0,0,787503,787503,0
192,,,,0,0,0,0,0,0,0
193,1200000,1080000,2000000,0,800000,400000,0.5,1200000,800000,400000
194,20086688.6,14806347.59,,5000000,15086688.6,0,0,20086688.6,15086688.6,0
195,3549816.93,,600000,0,399816.93,3150000,7.878605841,3549816.93,399816.93,3150000
196,,,750000,0,0,0,0,0,0,0
197,1533000,,3500000,0,0,0,0,0,0,0
198,,,224750,0,0,0,0,0,0,0
199,,,,0,0,0,0,0,0,0
200,1800000,810000,,0,0,1800000,0,1800000,0,1800000
201,,,,0,0,0,0,0,0,0
202,1250000,,,0,0,0,0,0,0,0
203,6520000,,,0,6520000,0,0,6520000,6520000,0
204,4950000,,,0,0,0,0,0,0,0
205,1364582.2,477603.77,75000,0,1364582.2,0,0,1364582.2,1364582.2,0
206,,,1000000,0,0,0,0,0,0,0
207,7500000,,1500000,0,0,0,0,0,0,0
208,208821015,,,200000000,8821015,0,0,208821015,8821015,0
209,18517000,,,0,18517000,0,0,18517000,18517000,0
210,,,450000,0,0,0,0,0,0,0
211,,,750000,0,0,0,0,0,0,0
212,350000,,650000,0,0,350000,0,350000,0,350000
213,,,,0,0,0,0,0,0,0
214,,,,0,0,0,0,0,0,0
215,36925869,37900000,,0,1925869,35000000,18.17361409,36925869,1925869,35000000
216,,,350000,0,0,0,0,0,0,0
217,,,975000,0,0,0,0,0,0,0
218,60000,,125000,0,0,0,0,0,0,0
219,,,,0,0,0,0,0,0,0
220,,,,0,0,0,0,0,0,0
221,2005500,,,0,0,0,0,0,0,0
222,6149450.2,,,0,0,0,0,0,0,0
223,,,,0,0,0,0,0,0,0
224,,,1500000,0,0,0,0,0,0,0
225,485000,,,0,0,0,0,0,0,0
226,,,1600000,0,0,0,0,0,0,0
227,6064026.75,3006403,7000000,0,64026.75,6000000,93.7108318,6064026.75,64026.75,6000000
228,,,,0,0,0,0,0,0,0
229,11500000,,,0,11500000,0,0,11500000,11500000,0
